table;column;issue;row count;magnitude;solvable?;resolution;;;;;;;;
orders;product_id;missing ids;2412;3.0%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
orders;campaign_id;missing ids when channel are paid ads;3;0.0%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
orders;order_timestamp;missing dates;786;1.0%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
orders;order_timestamp;incorrect data format;9937;12.4%;yes;used text to columns function to change format;;;;;;;;
orders;channel;missing channel;5428;6.8%;no;"left it as it is - no way to fill it, would need to contact with stakeholders - blank rows changed to ""Unknown""";;;;;;;;
orders;channel;misspelled channel names;15974;20.0%;yes;used ifs formula to change all misspelled channel names to the correct ones;;;;;;;;
orders;device;missing devices name;13230;16.5%;no;"left it as it is - no way to fill it, would need to contact with stakeholders - blank rows changed to ""Unknown""";;;;;;;;
orders;country;missing country codes;5541;6.9%;no;"left it as it is - no way to fill it, would need to contact with stakeholders - blank rows changed to ""Unknown""";;;;;;;;
orders;country;full name of a country instead of a code;5497;6.9%;yes;used ifs formula to change all full names of countries to codes;;;;;;;;
orders;quantity;missing quantity number;13256;16.6%;yes;used ifs formula, checked product_id_cleaned price and divided it with revenue if possible - 4% left as it is, no way to fill it;;;;;;;;
orders;unit_price_eur;missing price;6232;7.8%;yes;used ifs and xlookup formula to check the unit prices in fact_product by product_id_cleaned - 3.02% left as it is, no way to fill it;;;;;;;;
orders;discount_pct;missing discounts procentage;6652;8.3%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
orders;discount_pct;"spelled ""twenty"" instead of ""20""";6694;8.4%;yes;"used ifs formula to switch ""twenty"" to 20";;;;;;;;
orders;discount_pct;"spelled ""10%"" instead of ""10""";6713;8.4%;yes;"used ifs formula to switch ""10%"" to 10";;;;;;;;
orders;revenue_eur;wrong calculated revenue;1818;2.3%;yes;used if formula to calculate a revenue by multiplying quantity and unit_price_eur_cleaned;;;;;;;;
orders;revenue_eur;missing revenue;18419;23.0%;most of the time yes;"used if formula to calculate a revenue by multiplying quantity and unit_price_eur_cleaned - 3.5% left as it is, no way to fill it, changed to ""Unknown""";;;;;;;;
orders;shipping_cost_client_eur;missing shipping costs;18419;23.0%;yes;"used if formula to calculate shipping costs for a client with a template - 3.5% left as it is, no way to fill it, changed to ""Unknown""";;;;;;;;
orders;payment_method;missing payment method;10053;12.6%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
orders;payment_fees;missing fees;26126;32.7%;yes;"used ifs and round formulas to calculate payment fees with a template - 3.5% left as it is, no way to fill it, changed to ""Unknown""";;;;;;;;
orders;shipping_cost_eur;missing values;18419;23.0%;no;left it as it is - no way to fill it out, would need to contact with a stakeholders;;;;;;;;
orders;is_refunded;missing values;15900;19.9%;yes;used order_status as a reference to the is_refunded column - 16.5% left as it is, no way to fill it which is a critical point, would need to contact with stakeholders;;;;;;;;
orders;is_refunded, refund_reason, order_status;mutually exclusive data;?;;yes;used ifs formula with order_status as a reference for is_refunded and refund_reason columns - used proper formula for order_status;;;;;;;;
fact_product;product_name;missing values;183;0.2%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
fact_product;product_category;misspelled category names;93;0.1%;yes;very small data, no need to fill it out;;;;;;;;
fact_product;target_gender;missing values;172;0.2%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
fact_product;material;missing values;153;0.2%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
fact_product;manufacturing_city;missing values;167;0.2%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
fact_product;size;missing values;106;0.1%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
fact_product;color;missing values;181;0.2%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
fact_product;sku;missing values;89;0.1%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
fact_product;launch_date;missing values;94;0.1%;no;left it as it is - no way to fill it, would need to contact with stakeholders;;;;;;;;
;;;;;;;;;;;;;;
